0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,actual,pred
4.0,1.0,1.0,1.0,3.0,4.75,1.0,1.0,4.75,4.75,0.0,0.26,0,0,0,0,2.0,1.0,2.0,1.0,1.0,False,False
155.0,24.0,19.0,18.0,407.0,2535.13,0.03,31.5,80.48,79856.57,0.85,4436.48,134,2,17,0,21.0,54.0,245.0,162.0,47.0,False,False
2.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,0,0,0,0,5.0,1.0,5.0,1.0,1.0,False,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,False,True
2.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,0,0,0,0,6.0,2.0,6.0,2.0,1.0,False,False
22.0,2.0,1.0,2.0,35.0,148.68,0.16,6.3,23.6,936.67,0.05,52.04,15,0,3,0,9.0,10.0,21.0,14.0,3.0,False,False
16.0,1.0,1.0,1.0,40.0,175.69,0.17,6.0,29.28,1054.16,0.06,58.56,9,1,2,0,9.0,12.0,24.0,16.0,1.0,False,False
4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4.0,2.0,4.0,2.0,1.0,False,False
50.0,4.0,3.0,3.0,138.0,794.17,0.07,13.78,57.62,10946.73,0.26,608.15,36,2,6,0,17.0,37.0,78.0,60.0,7.0,False,False
1.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,False,False
12.0,4.0,1.0,2.0,44.0,199.04,0.1,9.82,20.27,1954.18,0.07,108.57,10,0,0,0,12.0,11.0,26.0,18.0,7.0,True,False
1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,False,False
20.0,4.0,1.0,1.0,44.0,176.0,0.09,11.57,15.21,2036.57,0.06,113.14,15,0,3,0,9.0,7.0,26.0,18.0,7.0,False,False
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1.0,False,False
17.0,1.0,1.0,1.0,62.0,291.43,0.18,5.56,52.46,1619.04,0.1,89.95,12,0,0,0,8.0,18.0,37.0,25.0,1.0,False,False
20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,False,False
5.0,1.0,1.0,1.0,9.0,23.26,0.5,2.0,11.63,46.53,0.01,2.58,3,0,0,0,3.0,3.0,5.0,4.0,1.0,False,False
15.0,2.0,1.0,2.0,60.0,278.63,0.18,5.41,51.49,1507.89,0.09,83.77,13,0,0,0,8.0,17.0,37.0,23.0,3.0,False,False
41.0,6.0,3.0,6.0,109.0,572.02,0.05,18.45,31.0,10553.84,0.19,586.32,35,0,2,0,18.0,20.0,68.0,41.0,11.0,True,False
23.0,2.0,1.0,2.0,56.0,253.32,0.14,7.07,35.82,1791.33,0.08,99.52,16,1,3,0,9.0,14.0,34.0,22.0,3.0,False,False
41.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,True,False
123.0,21.0,13.0,21.0,384.0,2312.59,0.03,35.32,65.48,81676.45,0.77,4537.58,107,5,8,1,21.0,44.0,236.0,148.0,41.0,False,False
9.0,1.0,1.0,1.0,20.0,76.15,0.21,4.67,16.32,355.35,0.03,19.74,6,0,0,0,8.0,6.0,13.0,7.0,1.0,False,False
93.0,10.0,3.0,10.0,245.0,1491.43,0.07,14.77,100.98,22027.25,0.5,1223.74,76,4,12,0,16.0,52.0,149.0,96.0,19.0,False,False
107.0,18.0,11.0,12.0,213.0,1236.97,0.03,31.05,39.84,38405.82,0.41,2133.66,80,19,0,4,25.0,31.0,136.0,77.0,35.0,False,False
2.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,0,0,0,0,5.0,2.0,5.0,2.0,1.0,False,False
1.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,False,False
5.0,1.0,1.0,1.0,11.0,28.43,0.25,4.0,7.11,113.74,0.01,6.32,3,0,0,0,4.0,2.0,7.0,4.0,1.0,False,False
74.0,7.0,1.0,6.0,177.0,948.29,0.04,24.0,39.51,22758.88,0.32,1264.38,60,6,6,0,16.0,25.0,102.0,75.0,13.0,False,False
4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1.0,0.0,1.0,False,False
31.0,4.0,1.0,4.0,90.0,450.0,0.06,16.32,27.57,7345.59,0.15,408.09,24,3,2,0,15.0,17.0,53.0,37.0,7.0,False,False
1.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,False,False
1.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,0,0,3.0,1.0,3.0,1.0,1.0,False,False
3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1.0,False,False
5.0,1.0,1.0,1.0,11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,2,0,0,0,7.0,3.0,8.0,3.0,1.0,False,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,0,0,0,0,3.0,2.0,3.0,2.0,1.0,False,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,1.0,True,True
